,num4black,num4white,0
F5,1.0,1.0,1.0
F5D6,1.0,1.0,2.0
F5D6C3,1.0,1.0,3.0
F5D6C3D3,1.0,1.0,4.0
F5D6C3D3C4,1.0,1.0,5.0
F5D6C3D3C4F4,1.0,1.0,6.0
F5D6C3D3C4F4C5,1.0,1.0,7.0
F5D6C3D3C4F4C5B3,1.0,1.0,8.0
F5D6C3D3C4F4C5B3C2,1.0,1.0,9.0
F5D6C3D3C4F4C5B3C2B4,1.0,1.0,10.0
F5D6C3D3C4F4C5B3C2B4E3,1.0,1.0,11.0
F5D6C3D3C4F4C5B3C2B4E3E6,1.0,1.0,12.0
F5D6C3D3C4F4C5B3C2B4E3E6C6,1.0,1.0,13.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6,1.0,1.0,14.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7,1.0,1.0,15.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7,1.0,1.0,16.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8,1.0,1.0,17.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5,1.0,1.0,18.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6,1.0,1.0,19.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6,1.0,1.0,20.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6F7,1.0,1.0,21.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6F7C1,1.0,1.0,22.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6F7C1A4,1.0,1.0,23.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6F7C1A4E7,1.0,1.0,24.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6F7C1A4E7F8,1.0,1.0,25.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6F7C1A4E7F8D2,1.0,1.0,26.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6F7C1A4E7F8D2F2,1.0,1.0,27.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6F7C1A4E7F8D2F2F3,1.0,1.0,28.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6F7C1A4E7F8D2F2F3E2,1.0,1.0,29.0
F5D6C3D3C4F4C5B3C2B4E3E6C6F6D7C7C8B5B6A6F7C1A4E7F8D2F2F3E2D1,1.0,1.0,
